    PID CMD
   1208 avahi-daemon: chroot helper
   1152 avahi-daemon: running [ahmed-sameh-VMware-Virtual-Platform.local]
   9297 bash
     20 [cpuhp/0]
     21 [cpuhp/1]
     27 [cpuhp/2]
     33 [cpuhp/3]
   1154 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     69 [ecryptfs-kthread]
   2087 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1996 gdm-session-worker [pam/gdm-password]
  24052 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
     19 [idle_inject/0]
     22 [idle_inject/1]
     28 [idle_inject/2]
     34 [idle_inject/3]
    436 [irq/16-vmwgfx]
     71 [irq/24-pciehp]
     72 [irq/25-pciehp]
     73 [irq/26-pciehp]
     74 [irq/27-pciehp]
     75 [irq/28-pciehp]
     76 [irq/29-pciehp]
     77 [irq/30-pciehp]
     79 [irq/31-pciehp]
     80 [irq/32-pciehp]
     81 [irq/33-pciehp]
     82 [irq/34-pciehp]
     83 [irq/35-pciehp]
     84 [irq/36-pciehp]
     85 [irq/37-pciehp]
     86 [irq/38-pciehp]
     87 [irq/39-pciehp]
     88 [irq/40-pciehp]
     89 [irq/41-pciehp]
     90 [irq/42-pciehp]
     91 [irq/43-pciehp]
     92 [irq/44-pciehp]
     93 [irq/45-pciehp]
     94 [irq/46-pciehp]
     95 [irq/47-pciehp]
     96 [irq/48-pciehp]
     97 [irq/49-pciehp]
     98 [irq/50-pciehp]
     99 [irq/51-pciehp]
    100 [irq/52-pciehp]
    101 [irq/53-pciehp]
    102 [irq/54-pciehp]
    103 [irq/55-pciehp]
    772 [irq/57-vmw_vmci]
    773 [irq/58-vmw_vmci]
     58 [irq/9-acpi]
    344 [jbd2/sda2-8]
     46 [kauditd]
     52 [kcompactd0]
     43 [kdevtmpfs]
     54 [khugepaged]
     48 [khungtaskd]
     53 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     30 [ksoftirqd/2]
     36 [ksoftirqd/3]
     68 [kswapd0]
      2 [kthreadd]
  15966 [kworker/0:0-events]
     10 [kworker/0:0H-kblockd]
  14009 [kworker/0:1H-kblockd]
  24032 [kworker/0:1-rcu_par_gp]
  23891 [kworker/0:2-rcu_par_gp]
  24026 [kworker/1:0-events]
  23885 [kworker/1:1-events]
  20688 [kworker/1:1H]
  14016 [kworker/1:2H-kblockd]
  23880 [kworker/1:2-rcu_par_gp]
  23970 [kworker/2:0-cgroup_destroy]
     32 [kworker/2:0H-events_highpri]
  22642 [kworker/2:1-events]
  14094 [kworker/2:1H-kblockd]
  24106 [kworker/2:2-events]
  23095 [kworker/3:0-events]
  23263 [kworker/3:0H]
  24100 [kworker/3:1-events]
    171 [kworker/3:1H-kblockd]
  23874 [kworker/3:2-cgroup_destroy]
  24168 [kworker/3:3-events]
    105 [kworker/R-acpi_]
     60 [kworker/R-ata_s]
     57 [kworker/R-blkcg]
    143 [kworker/R-charg]
   1049 [kworker/R-crypt]
     64 [kworker/R-devfr]
     63 [kworker/R-edac-]
    345 [kworker/R-ext4-]
     44 [kworker/R-inet_]
    114 [kworker/R-ipv6_]
     56 [kworker/R-kbloc]
     55 [kworker/R-kinte]
    123 [kworker/R-kstrp]
     70 [kworker/R-kthro]
     61 [kworker/R-md]
     62 [kworker/R-md_bi]
    113 [kworker/R-mld]
     12 [kworker/R-mm_pe]
    200 [kworker/R-mpt/0]
    199 [kworker/R-mpt_p]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
    107 [kworker/R-scsi_]
    109 [kworker/R-scsi_]
    210 [kworker/R-scsi_]
    211 [kworker/R-scsi_]
    215 [kworker/R-scsi_]
    217 [kworker/R-scsi_]
    219 [kworker/R-scsi_]
    221 [kworker/R-scsi_]
    223 [kworker/R-scsi_]
    225 [kworker/R-scsi_]
    227 [kworker/R-scsi_]
    229 [kworker/R-scsi_]
    231 [kworker/R-scsi_]
    233 [kworker/R-scsi_]
    235 [kworker/R-scsi_]
    237 [kworker/R-scsi_]
    239 [kworker/R-scsi_]
    241 [kworker/R-scsi_]
    243 [kworker/R-scsi_]
    245 [kworker/R-scsi_]
    247 [kworker/R-scsi_]
    249 [kworker/R-scsi_]
    251 [kworker/R-scsi_]
    253 [kworker/R-scsi_]
    255 [kworker/R-scsi_]
    257 [kworker/R-scsi_]
    259 [kworker/R-scsi_]
    261 [kworker/R-scsi_]
    263 [kworker/R-scsi_]
    265 [kworker/R-scsi_]
    267 [kworker/R-scsi_]
    269 [kworker/R-scsi_]
    271 [kworker/R-scsi_]
      6 [kworker/R-slub_]
     59 [kworker/R-tpm_d]
    438 [kworker/R-ttm]
     51 [kworker/R-write]
     11 [kworker/u256:0-ext4-rsv-conversion]
    509 [kworker/u256:1-ext4-rsv-conversion]
  23844 [kworker/u257:0-events_power_efficient]
  22505 [kworker/u257:2-events_power_efficient]
  23309 [kworker/u257:3-flush-8:0]
  23905 [kworker/u258:0-events_unbound]
  24182 [kworker/u258:1-events_power_efficient]
  22942 [kworker/u258:2-events_power_efficient]
  22999 [kworker/u258:4-events_unbound]
  23213 [kworker/u259:0-events_power_efficient]
  22993 [kworker/u259:2-events_power_efficient]
  23875 [kworker/u259:3-events_unbound]
  23840 [kworker/u260:0-events_unbound]
  23243 [kworker/u260:2-events_unbound]
  22296 [kworker/u260:4-events_power_efficient]
    125 [kworker/u261:0-hci0]
   5868 [kworker/u261:1-hci0]
  24014 [kworker/u262:0-ttm]
  24169 [kworker/u262:1]
  23285 [kworker/u262:8-ttm]
  23088 [kworker/u263:0-ttm]
  24170 [kworker/u263:1]
   8623 [kworker/u263:9-ttm]
  23996 [kworker/u264:3-ttm]
  24000 [kworker/u264:5-ttm]
  24015 [kworker/u265:10-ttm]
  23329 [kworker/u265:1-ttm]
     18 [migration/0]
     23 [migration/1]
     29 [migration/2]
     35 [migration/3]
     49 [oom_reaper]
